run_dir,initial_dt,dt1,dt2,dt3,dt4,dt5,dt6,dt7,dt8,dt9,dt10,dt11,dt12,dt13,dt14,dt15,dt16,dt17,dt18,dt19,dt20,dt21,dt22,dt23,dt24,dt25,dt26,dt27,dt28,dt29,dt30
run_001,40,40.0,81.5,61.125,91.6875,91.6875,,,,,,,,,,,,,,,,,,,,,,,,,
run_001,45,45.0,80.25,120.375,120.375,,,,,,,,,,,,,,,,,,,,,,,,,,
run_001,50,25.0,85.25,63.9375,95.90625,95.90625,,,,,,,,,,,,,,,,,,,,,,,,,
run_001,55,55.0,77.75,116.625,116.625,,,,,,,,,,,,,,,,,,,,,,,,,,
run_001,60,30.0,42.0,73.5,110.25,110.25,,,,,,,,,,,,,,,,,,,,,,,,,
run_001,65,32.5,41.6875,72.953125,109.4296875,109.4296875,,,,,,,,,,,,,,,,,,,,,,,,,
run_001,70,35.0,82.75,124.125,124.125,,,,,,,,,,,,,,,,,,,,,,,,,,
run_001,75,37.5,82.125,123.1875,123.1875,,,,,,,,,,,,,,,,,,,,,,,,,,
run_001,80,40.0,81.5,122.25,122.25,,,,,,,,,,,,,,,,,,,,,,,,,,
run_002,40,40.0,326.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_002,45,45.0,321.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_002,50,50.0,316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_002,55,55.0,311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_002,60,60.0,306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_002,65,65.0,301.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_002,70,70.0,296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_002,75,75.0,291.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_002,80,80.0,286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_003,40,40.0,81.5,122.25,122.25,,,,,,,,,,,,,,,,,,,,,,,,,,
run_003,45,45.0,80.25,120.375,120.375,,,,,,,,,,,,,,,,,,,,,,,,,,
run_003,50,50.0,79.0,118.5,118.5,,,,,,,,,,,,,,,,,,,,,,,,,,
run_003,55,27.5,42.3125,74.046875,111.0703125,111.0703125,,,,,,,,,,,,,,,,,,,,,,,,,
run_003,60,30.0,42.0,73.5,110.25,110.25,,,,,,,,,,,,,,,,,,,,,,,,,
run_003,65,32.5,41.6875,72.953125,109.4296875,109.4296875,,,,,,,,,,,,,,,,,,,,,,,,,
run_003,70,35.0,82.75,124.125,124.125,,,,,,,,,,,,,,,,,,,,,,,,,,
run_003,75,37.5,41.0625,71.859375,107.7890625,107.7890625,,,,,,,,,,,,,,,,,,,,,,,,,
